L1,L2,L3,L4
627.3236111,496.9152778,468.2625,638.2888889
826.2097222,469.0388889,475.7986111,596.6791667
594.6736111,457.2902778,423.3652778,564.5763889
733.3194444,475.1291667,532.8166667,575.8361111
759.1611111,458.8708333,450.6027778,606.075
584.7666667,487.9041667,461.1319444,624.1875
699.5236111,469.7111111,488.9833333,605.7888889
639.8638889,428.4125,448.8416667,574.625
751.5638889,484.525,460.9972222,609.6833333
729.7555556,461.575,528.0180556,759.1069444
622.7277778,452.9125,439.0388889,584.25
693.8694444,440.7166667,410.925,613.7027778
667.4152778,467.8347222,457.4708333,590.2083333
674.9902778,531.6847222,461.6069444,622.075
676.3694444,473.4319444,512.8569444,622.9222222
747.8833333,482.6638889,449.575,605.0694444
716.0861111,514.9875,494.05,597.4916667
661.5902778,500.6958333,504.4763889,596.1361111
684.1222222,485.5583333,492.2222222,649.2916667
666.2069444,436.3666667,423.6027778,619.8791667
726.3013889,464.3875,484.125,599.8236111
708.5194444,500.9875,443.3444444,621.3819444
687.2194444,427.2291667,441.0708333,581.675
705.1611111,492.3083333,422.9166667,571.2861111
713.6569444,454.15,462.2291667,569.9833333
754.5180556,467.0416667,406.3958333,601.2097222
616.1652778,431.7680556,425.6777778,592.4763889
817.7902778,530.9875,482.6708333,580.1736111
681.8736111,499.4652778,453.3416667,611.7125
737.7680556,483.3458333,473.3541667,593.9291667
686.9402778,499.2916667,449.4666667,606.775
723.7208333,537.4083333,470.9208333,597.3638889
653.0569444,522.7569444,436.5708333,602.5597222
721.5236111,551.8111111,457.0430556,608.0791667
672.4402778,492.3333333,469.9541667,609.8541667
610.9694444,429.8347222,422.1513889,581.625
693.1694444,518.8611111,486.4986111,586.9888889
634.5861111,443.3416667,415.4583333,619.0236111
730.5569444,486.3763889,474.0791667,616.4208333
677.8138889,494.15,426.3416667,563.7861111
776.2194444,506.3888889,458.1361111,615.6138889
695.6833333,482.4875,475.8708333,616.5097222
688.2277778,531.6652778,488.375,653.9666667
720.9819444,492.125,407.6791667,633.5791667
607.3277778,447.8833333,474.4763889,572.775
671.3333333,430.8375,438.7333333,595.2333333
735.0041667,549.0194444,517.5472222,612
690.2027778,419.6277778,421.0805556,614.4083333
697.9861111,454.3138889,446.7791667,586.5638889
739.9041667,477.1027778,478.6513889,608.2041667
667.6527778,467.325,494.4055556,598.0444444
623.0902778,476.9069444,434.9722222,572.1375
718.9569444,538.1486111,554.1569444,590.7666667
600.8986111,506.7208333,434.2263889,587.1083333
665.6319444,430.8347222,412.7,577.075
670.9069444,497.0083333,485.7458333,608.8958333
698.9486111,450.9791667,396.425,592.6069444
671.9986111,447.0458333,448.6125,580.0416667
658.0736111,462.1416667,420.2041667,571.1263889
702.2902778,517.7833333,472.4083333,600.6013889
719.7111111,484.8444444,471.4930556,588.0666667
748.7958333,477.6708333,427.6458333,592.9986111
618.9236111,397.6375,463.0041667,558.9458333
614.7111111,487.4694444,435.8875,608.4555556
708.4236111,488.0416667,482.1888889,612.1972222
716.0375,542.175,520.8,563.3083333
727.4111111,435.4041667,420.0791667,620.9819444
710.7277778,454.8430556,472.9611111,632.2805556
845.7611111,559.2263889,465.1208333,678.8569444
675.3416667,504.0569444,474.1777778,607.4083333
631.5652778,448.5583333,471.7763889,612.1611111
638.1694444,523.5972222,513.0583333,584.5722222
619.0152778,460.3680556,429.2583333,583.5333333
646.4486111,435.3944444,415.0083333,595.3236111
694.6819444,407.4875,439.8416667,581.8333333
804.7597222,456.5583333,450.0347222,614.3486111
633.9388889,491.0902778,449.6680556,626.6569444
621.6944444,476.4041667,473.5236111,594.1611111
687.7458333,477.8375,476.5541667,604.6833333
666.9111111,484.8083333,427.8083333,623.5541667
698.5569444,421.7708333,433.0736111,595.5930556
678.3652778,455.2847222,444.6583333,603.2916667
782.3847222,441.9083333,450.2416667,582.5833333
757.5236111,469.5666667,444.8027778,599.3708333
662.5805556,448.0805556,453.325,579.0291667
616.7083333,456.9833333,501.8861111,574.0472222
795.0541667,451.4194444,459.1847222,605.5041667
501.3527778,397.3833333,432.4430556,608.0402778
713.3083333,457.0583333,476.0152778,623.5333333
676.7041667,461.6472222,457.2361111,590.3638889
634.4069444,491.9416667,483.5347222,575.3805556
701.175,457.1083333,441.3847222,618.6555556
645.8208333,426.6416667,449.1333333,604.4486111
665.9916667,482.4625,431.9611111,567.4805556
646.7236111,465.0666667,441.5583333,582.8958333
670.1527778,471.5194444,425.6916667,584.7875
612.3597222,460.075,438.9291667,614.6597222
661.6236111,477.55,404.3666667,589.0194444
694.2444444,463.05,478.0569444,590.7583333
652.0861111,502.5347222,436.7083333,567.4583333
683.9361111,457.3402778,425.6666667,596.3305556
714.7861111,445.7583333,484.6708333,564.1055556
